Unique_tree_ID,Letter_code,DBH,Notes,Plot,Common_name,Scientific_name,GlobalID,UID,BioM,Carbon_Stored,Carbon_Sequestered,RASTERVALU,DEM_SteepestPts,DEM_MidPts,DEM_FlatPts,DEM_POINTS
A1,JUVI,14.000000000000000,89.2cm,AA,Eastern Redcedar,Juniperus virginiana,75c4a114-9ce5-4687-9d26-e0007eccef4a,1,50.833638928363172,25.416819464181586,93.279727433546412,13.1762419,0.000000000000000,13.176241874694824,0.000000000000000,Mid
A2,ULRU,26.399999999999999,92.8cm,AA,Slippery Elm,Ulmus rubra,adb22217-a885-433d-9fe5-a54b8d1fe8c2,2,284.120805505080853,142.060402752540426,521.361678101823372,13.1762419,0.000000000000000,13.176241874694824,0.000000000000000,Mid
A3,QUPH,93.099999999999994,85.9,AA,Willow Oak,Quercus phellos,9eaf50fe-8376-43f1-8ad4-b2e5f56047c7,3,8293.021851507646716,4146.510925753823358,15217.695097516530950,13.3511734,0.000000000000000,0.000000000000000,13.351173400878906,Flat
A4,ULRU,23.699999999999999,84,AA,Slippery Elm,Ulmus rubra,d127b968-dc4f-4114-b650-82ce00432eee,4,217.338768647130621,108.669384323565311,398.816640467484660,13.4573002,0.000000000000000,0.000000000000000,13.457300186157227,Flat
A5,LIST,15.400000000000000,83.9,AA,Sweetgum,Liquidambar styraciflua,60971d35-40c7-4d59-ba7e-4d1c26a6cd1b,5,74.500192527471327,37.250096263735664,136.707853287909870,13.3511734,0.000000000000000,0.000000000000000,13.351173400878906,Flat
A6,LIST,20.300000000000001,83.8,AA,Sweetgum,Liquidambar styraciflua,a06bd423-69e4-40db-b49d-bf6c98b22e1d,6,147.950383435609524,73.975191717804762,271.488953604343465,13.4573002,0.000000000000000,0.000000000000000,13.457300186157227,Flat
A7,ULRU,13.699999999999999,83.8,AA,Slippery Elm,Ulmus rubra,511b9f54-5f4d-4275-bc88-df458fcc5639,7,55.717960792957363,27.858980396478682,102.242458055076753,13.4573002,0.000000000000000,0.000000000000000,13.457300186157227,Flat
A8,QUFA,48.200000000000003,83.8,AA,Southern Red Oak,Quercus falcata,a4f2408b-8ec6-4de0-a7d0-4a7674972289,8,1670.200451516477187,835.100225758238594,3064.817828532735803,13.5837069,0.000000000000000,0.000000000000000,13.583706855773926,Flat
A9,ULAL,16.199999999999999,83.8,AA,Winged Elm,Ulmus alata,c9dfff7a-6392-4adb-918e-4ba0c74e1620,9,84.485119655032662,42.242559827516331,155.030194566984932,13.3511734,0.000000000000000,0.000000000000000,13.351173400878906,Flat
A10,QUPH,77.099999999999994,96.7,AA,Willow Oak,Quercus phellos,8964bee8-f8ae-4576-b883-3587d1c295d3,10,5240.385826216184796,2620.192913108092398,9616.107991106699046,13.1720486,0.000000000000000,13.172048568725586,0.000000000000000,Mid
A11,ULAL,18.399999999999999,"Slippery or winged, 84.2",AA,Winged Elm,Ulmus alata,569fe7ba-9f52-4e5a-ae3b-d09e03478639,11,115.911025538030202,57.955512769015101,212.696731862285418,13.1720486,0.000000000000000,13.172048568725586,0.000000000000000,Mid
A12,ULAL,25.500000000000000,"Split trunk, 87.6",AA,Winged Elm,Ulmus alata,86f82d4c-5de7-4bf8-84e8-a83e3ba15131,12,260.670702879620080,130.335351439810040,478.330739784102832,12.6431360,0.000000000000000,12.643136024475098,0.000000000000000,Mid
A13,QUFA,39.700000000000003,85.7,AA,Southern Red Oak,Quercus falcata,6124c86d-d9e0-41c5-8b15-b975b12b939a,13,1041.528954499935253,520.764477249967626,1911.205631507381213,12.6431360,0.000000000000000,12.643136024475098,0.000000000000000,Mid
A14,QUFA,35.700000000000003,84.7,AA,Southern Red Oak,Quercus falcata,ea3cdcce-9267-4afd-ab5b-9ce4362962ef,14,804.267404578747119,402.133702289373559,1475.830687402000876,12.6431360,0.000000000000000,12.643136024475098,0.000000000000000,Mid
A15,PITA,36.799999999999997,84.3,AA,Loblolly Pine,Pinus taeda,f53535e1-62f5-45de-a04f-f756fbdcb67d,15,514.618939362038532,257.309469681019266,944.325753729340704,13.1720486,0.000000000000000,13.172048568725586,0.000000000000000,Mid
A16,ULAL,16.899999999999999,86.9,AA,Winged Elm,Ulmus alata,b4404984-87ab-43cc-9373-5562e67aceae,16,93.843957852606380,46.921978926303190,172.203662659532711,13.3776293,0.000000000000000,0.000000000000000,13.377629280090332,Flat
A17,ULAL,15.400000000000000,80.7,AA,Winged Elm,Ulmus alata,9a04ab7a-1776-4539-9d55-b57cafe063a4,17,74.500192527471327,37.250096263735664,136.707853287909870,13.3776293,0.000000000000000,0.000000000000000,13.377629280090332,Flat
A18,ACRU,14.500000000000000,86.6,AA,Red Maple,Acer rubrum,4124ff16-f0a3-4efc-b185-230d86428325,18,82.461289971444728,41.230644985722364,151.316467097601077,13.4674702,0.000000000000000,0.000000000000000,13.467470169067383,Flat
A19,LIST,17.399999999999999,85.8,AA,Sweetgum,Liquidambar styraciflua,bf6c5a05-63c6-49be-bf14-7443fa7966bf,19,100.891305800306682,50.445652900153341,185.135546143562749,13.4674702,0.000000000000000,0.000000000000000,13.467470169067383,Flat
A20,LIST,19.000000000000000,81.1,AA,Sweetgum,Liquidambar styraciflua,707cedc3-4f31-4ba4-8a83-45a398290518,20,125.526162723261081,62.763081361630540,230.340508597184083,13.5837069,0.000000000000000,0.000000000000000,13.583706855773926,Flat
A21,ULAL,35.000000000000000,81.6,AA,Winged Elm,Ulmus alata,a9697627-d9e1-4a47-bacb-9cedb14f3941,21,572.324942117999854,286.162471058999927,1050.216268786529781,13.4674702,0.000000000000000,0.000000000000000,13.467470169067383,Flat
A22,ULAM,32.500000000000000,83.1,AA,American Elm,Ulmus americana,2ac5ffe1-a15e-4440-95c3-4be6674a1f3a,22,476.115161962391539,238.057580981195770,873.671322200988470,13.5837069,0.000000000000000,0.000000000000000,13.583706855773926,Flat
A23,ULAL,17.500000000000000,78.2,AA,Winged Elm,Ulmus alata,e7eca0fb-0074-4785-9e8b-a79ac8b5cfa4,23,102.337470637918926,51.168735318959463,187.789258620581222,13.4674702,0.000000000000000,0.000000000000000,13.467470169067383,Flat
